,Foreign Locations per 100 Words,Domestic Locations per 100 Words,Foreign vs. Domestic Places
Agriculture and Food,0.2466091245376079,1.2330456226880395,-0.9864364981504317
Armed Forces and Intelligence Services,1.2154696132596685,0.8839779005524863,0.33149171270718225
Art,0.2403846153846154,1.0817307692307692,-0.8413461538461537
Building and Heavy Engineering,0.33370411568409347,1.4460511679644048,-1.1123470522803114
Business and Finance,0.411522633744856,0.9259259259259258,-0.5144032921810698
Education and Learning,0.11507479861910241,0.805523590333717,-0.6904487917146146
Film and Broadcasting,0.2026342451874367,1.1144883485309016,-0.911854103343465
Individuals,0.2318840579710145,1.0434782608695654,-0.8115942028985509
Law and Crime,0.12048192771084339,1.0843373493975903,-0.9638554216867469
"Literature, Journalism, and Publishing",0.12345679012345678,0.9876543209876543,-0.8641975308641975
Manufacturing and Industry,0.22935779816513763,1.146788990825688,-0.9174311926605505
Medicine,0.24875621890547264,0.8706467661691543,-0.6218905472636816
Music,0.25316455696202533,1.0126582278481013,-0.759493670886076
"Politics, Government, and Diplomacy",0.31545741324921134,1.0515247108307046,-0.7360672975814933
Religion and Belief,0.13568521031207598,1.3568521031207599,-1.2211668928086838
"Royalty, Rulers, and Aristocracy",0.20242914979757085,1.214574898785425,-1.0121457489878543
Scholarship and Research,0.2364066193853428,0.8274231678486997,-0.5910165484633569
Science,0.3488372093023256,0.813953488372093,-0.46511627906976744
Social Welfare and Reform,0.2178649237472767,1.0893246187363834,-0.8714596949891067
"Sports, Games, and Pastimes",0.33482142857142855,1.0044642857142858,-0.6696428571428572
Technology,0.22675736961451248,0.9070294784580499,-0.6802721088435375
Theatre and Live Entertainment,0.20920502092050208,1.1506276150627615,-0.9414225941422594
Trade and Retailing,0.36231884057971014,0.966183574879227,-0.6038647342995169
Transport and Communication,0.44419766796224325,0.9994447529150472,-0.555247084952804
Travel and Exploration,1.28130460104834,0.8153756552125802,0.46592894583575983
